"gene_short_name","pval","qval"
"IGFBP4",0,0
"COL1A1",0,0
"SOCS3",0,0
"MYL9",0,0
"CFD",0,0
"C3",0,0
"COMP",0,0
"TYROBP",0,0
"APOC1",0,0
"TIMP3",0,0
"RAC2",0,0
"FBLN1",0,0
"SAMSN1",0,0
"COL6A1",0,0
"COL6A2",0,0
"CPA3",0,0
"MS4A2",0,0
"CTSG",0,0
"TPSB2",0,0
"TPSAB1",0,0
"SOD3",1.18328722178979e-320,7.93420020656458e-320
"IER3",3.98686272911594e-319,2.65279655352832e-318
"CTSD",1.35578579544444e-317,8.95232622360609e-317
"SPP1",4.5727524020928e-316,2.99653850730175e-315
"MEG3",6.22357636052317e-315,4.04766432494262e-314
"STMN1",1.05285372923416e-314,6.79640653561002e-314
"COL8A1",1.49845011349508e-313,9.60118035681873e-313
"FXYD5",2.07976325283724e-313,1.32279059831163e-312
"EMILIN1",5.06764769423124e-313,3.19964617190657e-312
"FCER1A",6.84277611466134e-310,4.28913140520439e-309
"FHL1",3.54451359725088e-305,2.20575846159857e-304
"LTBP1",3.08930796360953e-304,1.9087509918016e-303
"FDX1",3.65794100375615e-304,2.24405600585041e-303
"LTBP4",1.49390978988112e-301,9.1002251285012e-301
"RHOH",1.19211926680144e-297,7.21107108939331e-297
"OLFML3",6.3263827886549e-296,3.80022299457395e-295
"CD37",1.98969392979082e-294,1.18695534432349e-293
"PLPP3",2.04629617208176e-294,1.21236040332241e-293
"BATF",3.2234488405833e-293,1.89679132456092e-292
"GPC3",2.03395209104403e-285,1.18876253969803e-284
"SELM",9.03790595342666e-283,5.24683801994232e-282
"C1orf162",3.91051344638975e-281,2.25506275408476e-280
"KIT",2.65493745156719e-277,1.52087476530174e-276
"MT2A",1.66649558294442e-276,9.48367552136131e-276
"TSPAN8",5.67039168539151e-276,3.20580967834226e-275
"TFPI",3.70181375152286e-275,2.07926551627745e-274
"ZFP36L1",3.7770858402834e-272,2.10785758183557e-271
"ADIRF",1.53601240091639e-268,8.51699183841459e-268
"COL5A2",3.15518733683506e-267,1.73836754545371e-266
"FMO2",2.67000308454838e-264,1.46174219502174e-263
"CST3",5.48929118091225e-264,2.98631249779189e-263
"GNA15",4.0542593707947e-263,2.19183397233589e-262
"RND3",6.73816381285736e-262,3.62019360131778e-261
"ACTA2",2.82729059240001e-260,1.50963355705309e-259
"MXRA8",2.00816389794321e-259,1.06568206854041e-258
"CXCL12",3.82422416257835e-257,2.01704506135992e-256
"AEBP1",6.46200939649008e-256,3.38765947149329e-255
"DDIT4",2.77018763321772e-255,1.44350138718875e-254
"C8orf4",2.18174645683049e-254,1.13006627853795e-253
"ISLR",4.61668490213662e-254,2.37704311925487e-253
"TGM2",4.81658341018634e-252,2.46529269219597e-251
"SYAP1",5.23953059056737e-252,2.6659964475534e-251
"FBLN2",1.12426414994038e-250,5.68706719121886e-250
"PRKCDBP",3.28225864638086e-249,1.65067077274386e-248
"FBN1",6.76385356780923e-249,3.38192678390461e-248
"GLUL",1.440775909498e-248,7.16247794089521e-248
"SPTBN1",1.2736637872853e-246,6.27138830275747e-246
"TPPP3",1.27602814021424e-246,6.27138830275747e-246
"COL14A1",7.28023338783883e-246,3.55785416976304e-245
"LTBP2",1.9150534754872e-245,9.30629919267656e-245
"HSPA1B",4.58125312286195e-242,2.21384578283552e-241
"IGFBP3",2.84127341696495e-239,1.36538972537482e-238
"HTRA3",9.07245205744619e-239,4.33572985065798e-238
"GEM",3.77075060194846e-238,1.79214245642056e-237
"MOXD1",3.67503166598982e-234,1.73710513173836e-233
"LMNA",4.67053411153451e-233,2.19565869917248e-232
"CRABP2",7.5057819992698e-233,3.50946023209101e-232
"VWA5A",2.32097958394935e-230,1.07938029038505e-229
"CDH11",1.39526967941511e-229,6.4540549341929e-229
"PRELP",1.76661385776471e-228,8.1283031221621e-228
"OGN",2.71727915477351e-227,1.2436224703064e-226
"SOD2",5.20216429611335e-227,2.36835374533582e-226
"FGF7",3.51647824650952e-226,1.59254119540876e-225
"LGALS1",2.58685433876118e-223,1.16543177241063e-222
"LRP1",1.03785086566618e-222,4.65150776580957e-222
"SH3BGRL3",3.78864609154173e-222,1.68926745834206e-221
"PMP22",2.60603906077375e-221,1.15601219875348e-220
"INMT",4.12163799432531e-221,1.8189881964752e-220
"LOXL1",1.02732723950572e-220,4.51085310747438e-220
"SLC18A2",5.5510520250954e-220,2.42508080894319e-219
"MMP23B",6.016173518321e-219,2.61507039866717e-218
"COL5A1",2.05080967501609e-217,8.86975184444459e-217
"CTSK",1.02498812845751e-216,4.41101856276489e-216
"LHFP",1.96777788760331e-214,8.42637560780623e-214
"LIMCH1",1.53796564265423e-213,6.55340039850203e-213
